"Time","Load (kW)","Pressure_kpa","Cloud Cover (%)","Humidity (%)","Temperature (C)","Wind Direction (deg)","Wind Speed (kmh)"
2021-01-18 08:00:00,1118445.43213707,1015.6,12.625,67.6666666666667,10.1243862174512,60.125,3.87625
2021-01-18 09:00:00,1191149.93213707,1016.3625,33.5,65,13.2768862174512,77.125,2.01625
2021-01-18 10:00:00,1239397.93213707,1017.0375,10.5,61.0833333333333,19.1443862174512,43.5,7.86
2021-01-18 11:00:00,1258138.43213707,1016.675,6.125,59.4166666666667,22.8868862174512,40.625,10.0025
2021-01-18 12:00:00,1263172.93213707,1015.5875,2.125,58,24.3743862174512,61.375,10.94375
2021-01-18 13:00:00,1250564.43213707,1014.3125,0.125,56.6666666666667,26.7843862174512,198.125,9.99625
2021-01-18 14:00:00,1259008.43213707,1013.4,0.375,57.4166666666667,26.3418862174512,216.5,10.46
2021-01-18 15:00:00,1257538.43213707,1012.7125,3.5,62.5833333333333,24.4368862174512,264.25,17.21625
2021-01-18 16:00:00,1244683.93213707,1012.4375,32,68.0833333333333,19.3418862174512,300.75,17.85125
2021-01-18 17:00:00,1210587.93213707,1012.475,33.75,68.6666666666667,18.7018862174512,310.5,17.515
2021-01-18 18:00:00,1179904.93213707,1013,12.5,67.3333333333333,17.5218862174512,347.5,14.5725
2021-01-18 19:00:00,1143511.43213707,1013.65,11.75,70.1666666666667,15.9418862174512,347.75,9.675
2021-01-18 20:00:00,1111501.93213707,1014.375,12,71.6666666666667,14.5368862174512,334,10.005
2021-01-18 21:00:00,1080845.93213707,1014.85,19,75.8333333333333,11.7468862174512,305.75,9.6375
2021-01-18 22:00:00,1050945.43213707,1015.05,19.5,74,12.6968862174512,313.25,8.4625
2021-01-18 23:00:00,1009403.43213707,1014.8,34.5,73.6666666666667,12.7618862174512,302.75,7.5825
2021-01-19 00:00:00,1009052.93213707,1014.525,33.25,73.3333333333333,11.1668862174512,115.75,6.455
2021-01-19 01:00:00,995232.43213707,1013.875,35,76.8333333333333,9.41188621745121,145.5,6.4575
2021-01-19 02:00:00,984778.93213707,1013.475,37.5,72.5,10.2868862174512,91.5,5.71
2021-01-19 03:00:00,977590.43213707,1013.125,25,74.3333333333333,8.44188621745121,69.5,2.7675
2021-01-19 04:00:00,977562.43213707,1013.4,23.25,73.8333333333333,7.98688621745122,79.5,3.3775
2021-01-19 05:00:00,987682.93213707,1013.575,20.25,68.6666666666667,9.43188621745121,74.25,3.63
2021-01-19 06:00:00,1002447.43213707,1014.3,21.75,71.1666666666667,8.13188621745121,77.25,4.055
2021-01-19 07:00:00,1045921.93213707,1014.925,24.5,71.1666666666667,7.19188621745121,165.25,8.9775
