"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
11.7218862174512,1014,0,47,12,2021-01-23 08:00:00
13.7218862174512,1014,0,59,11,2021-01-23 09:00:00
15.7218862174512,1014,0,89,11,2021-01-23 10:00:00
17.7218862174512,1014,0,120,10,2021-01-23 11:00:00
19.7218862174512,1013,0,151,10,2021-01-23 12:00:00
19.7218862174512,1013,0,209,12,2021-01-23 13:00:00
19.7218862174512,1012,0,268,15,2021-01-23 14:00:00
19.7218862174512,1011,0,326,17,2021-01-23 15:00:00
17.7218862174512,1011,0,330,19,2021-01-23 16:00:00
15.7218862174512,1011,0,333,21,2021-01-23 17:00:00
15.7218862174512,1011,0,337,23,2021-01-23 18:00:00
13.7218862174512,1011,0,304,22,2021-01-23 19:00:00
11.7218862174512,1012,0,271,20,2021-01-23 20:00:00
11.7218862174512,1013,0,238,19,2021-01-23 21:00:00
9.72188621745121,1013,0,167,18,2021-01-23 22:00:00
7.72188621745121,1013,0,96,16,2021-01-23 23:00:00
7.72188621745121,1013,0,25,14,2021-01-24 00:00:00
9.72188621745121,1012,0,32,14,2021-01-24 01:00:00
11.7218862174512,1012,0,39,13,2021-01-24 02:00:00
13.7218862174512,1012,0,47,13,2021-01-24 03:00:00
13.7218862174512,1012,0,50,13,2021-01-24 04:00:00
13.7218862174512,1013,0,53,13,2021-01-24 05:00:00
11.7218862174512,1013,0,56,14,2021-01-24 06:00:00
13.7218862174512,1014,0,63,13,2021-01-24 07:00:00
