Temperature (C) ,Pressure_kpa,Cloud Cover (%),Wind Direction (deg),Wind Speed (kmh),Time,,,,
15.72188622,1011,20,13,12,2020-11-06 00:00:00,,,,
15.72188622,1011,22,14,12,2020-11-06 01:00:00,,,,
15.72188622,1011,24,15,12,2020-11-06 02:00:00,,,,
15.72188622,1010,25,16,11,2020-11-06 03:00:00,,,,
15.72188622,1010,26,17,11,2020-11-06 04:00:00,,,,
15.72188622,1011,26,17,11,2020-11-06 05:00:00,,,,
15.72188622,1011,27,17,10,2020-11-06 06:00:00,,,,
15.72188622,1012,26,53,9,2020-11-06 07:00:00,,,,
15.72188622,1012,26,90,8,2020-11-06 08:00:00,,,,
17.72188622,1013,26,126,7,2020-11-06 09:00:00,,,,
17.72188622,1012,27,193,8,2020-11-06 10:00:00,,,,
19.72188622,1012,27,260,8,2020-11-06 11:00:00,,,,
19.72188622,1012,27,328,9,2020-11-06 12:00:00,,,,
19.72188622,1011,24,324,11,2020-11-06 13:00:00,,,,
19.72188622,1010,21,320,14,2020-11-06 14:00:00,,,,
17.72188622,1010,18,317,16,2020-11-06 15:00:00,,,,
17.72188622,1010,17,322,16,2020-11-06 16:00:00,,,,
17.72188622,1010,16,327,15,2020-11-06 17:00:00,,,,
17.72188622,1010,15,333,14,2020-11-06 18:00:00,,,,
17.72188622,1011,14,300,13,2020-11-06 19:00:00,,,,
17.72188622,1012,13,267,12,2020-11-06 20:00:00,,,,
17.72188622,1012,13,234,11,2020-11-06 21:00:00,,,,
13.72188622,1012,11,164,10,2020-11-06 22:00:00,,,,
9.721886217,1012,10,93,9,2020-11-06 23:00:00,,,,
5.721886217,1012,9,23,9,2020-11-07 00:00:00,,,,
9.721886217,1012,9,26,9,2020-11-07 01:00:00,,,,
13.72188622,1012,8,28,8,2020-11-07 02:00:00,,,,
15.72188622,1011,8,31,8,2020-11-07 03:00:00,,,,
15.72188622,1012,8,27,9,2020-11-07 04:00:00,,,,
15.72188622,1012,8,23,9,2020-11-07 05:00:00,,,,
15.72188622,1012,8,20,9,2020-11-07 06:00:00,,,,
15.72188622,1013,8,56,9,2020-11-07 07:00:00,,,,
15.72188622,1013,8,91,9,2020-11-07 08:00:00,,,,
17.72188622,1014,9,127,9,2020-11-07 09:00:00,,,,
17.72188622,1013,9,198,10,2020-11-07 10:00:00,,,,
19.72188622,1013,9,268,10,2020-11-07 11:00:00,,,,
19.72188622,1013,9,338,11,2020-11-07 12:00:00,,,,
19.72188622,1012,9,334,14,2020-11-07 13:00:00,,,,
19.72188622,1011,9,329,16,2020-11-07 14:00:00,,,,
17.72188622,1011,9,324,19,2020-11-07 15:00:00,,,,
17.72188622,1011,8,327,19,2020-11-07 16:00:00,,,,
15.72188622,1011,8,331,19,2020-11-07 17:00:00,,,,
13.72188622,1011,7,334,19,2020-11-07 18:00:00,,,,
11.72188622,1012,7,337,17,2020-11-07 19:00:00,,,,
9.721886217,1012,6,341,15,2020-11-07 20:00:00,,,,
5.721886217,1013,5,345,14,2020-11-07 21:00:00,,,,
7.721886217,1013,4,234,12,2020-11-07 22:00:00,,,,
9.721886217,1012,2,124,10,2020-11-07 23:00:00,,,,
9.721886217,1012,1,13,8,2020-11-08 00:00:00,,,,
13.72188622,1012,1,21,7,2020-11-08 01:00:00,,,,
15.72188622,1012,2,29,6,2020-11-08 02:00:00,,,,
19.72188622,1012,3,38,5,2020-11-08 03:00:00,,,,
17.72188622,1012,3,44,6,2020-11-08 04:00:00,,,,
17.72188622,1012,4,51,6,2020-11-08 05:00:00,,,,
15.72188622,1012,4,58,7,2020-11-08 06:00:00,,,,
17.72188622,1013,5,91,6,2020-11-08 07:00:00,,,,
