layers,learning_rate,val_loss,mse,mae,mape
(64, 128),0.0001,598144319488.0,598144319488.0,634087.375,55.18015670776367
(32, 64),0.0001,249653624832.0,249653624832.0,408500.6875,35.39505386352539
(64, 64),0.0001,93981229056.0,93981229056.0,241524.59375,20.55083465576172
(64, 128),0.001,50451533824.0,50451533824.0,182597.796875,16.30076026916504
(32, 64),0.001,30409265152.0,30409265152.0,134473.046875,11.299542427062988
(64, 64),0.001,145555161088.0,145555161088.0,321365.5,28.244403839111328
(64, 128),0.01,nan,nan,nan,nan
(32, 64),0.01,nan,nan,nan,nan
(64, 64),0.01,nan,nan,nan,nan
(64, 128),0.1,nan,nan,nan,nan
(32, 64),0.1,nan,nan,nan,nan
(64, 64),0.1,nan,nan,nan,nan
