model,mse,mae,mape
1HourNaive,1309250987.3530264,25646.968138470278,2.1911415695768794
24HourNaive,8313610409.492163,53561.40178489882,4.503903611362033
48HourNaive,12700080170.195343,71828.83552970584,6.084061463939237
1WeekNaive,3241732518.792032,36613.244530062526,3.159587005190311
1MonthNaive,15661314139.126652,88173.07085558205,7.549169654070388
1YearNaive,19548581550.618366,100630.94241835277,8.817171023620011
NN1,1098161280.0,23049.107421875,2.0948867797851562
NN2,1704848256.0,30637.884765625,2.829707622528076
XGB1,925669827.4266014,20113.070467708334,1.834300477809643
XGB2,1522333378.456497,27063.997063392853,2.453148315761489
RF1,817777206.0488746,18712.56054374435,1.7160800992645553
RF2,2192948030.353053,29828.63968987668,2.6686836663521603
