learning_rate,layers,val_loss,mse,mae,mape,Lag_1day
0.1,"64, 32, 16",1327939840.0,1327939840.0,23556.29296875,2.044883966445923,no
0.1,"64, 32",1403397632.0,1403397632.0,23826.806640625,2.06827712059021,no
0.1,"32, 16, 8",1601115904.0,1601115904.0,26226.421875,2.277951955795288,no
0.1,"32, 16",1968992768.0,1968992768.0,28829.544921875,2.491283416748047,no
0.1,"128, 64, 32",1382570112.0,1382570112.0,25272.94921875,2.213045835494995,no
0.01,"64, 32, 16",2128131456.0,2128131456.0,29954.017578125,2.60728120803833,no
0.01,"64, 32",2179645952.0,2179645952.0,30785.017578125,2.66024112701416,no
0.01,"32, 16, 8",2215036160.0,2215036160.0,31236.77734375,2.6959946155548096,no
0.01,"32, 16",2478977536.0,2478977536.0,32916.94921875,2.828779935836792,no
0.01,"128, 64, 32",1495248256.0,1495248256.0,25767.30078125,2.209592819213867,no
0.001,"64, 32, 16",2404917504.0,2404917504.0,32713.34765625,2.8181655406951904,no
0.001,"64, 32",2567185664.0,2567185664.0,33809.09375,2.9241559505462646,no
0.001,"32 16 8",2551820288.0,2551820288.0,33664.62109375,2.9114418029785156,no
0.001,"32 16",2587282688.0,2587282688.0,34029.66015625,2.9374611377716064,no
0.001,"128 64 32",2169145856.0,2169145856.0,30720.359375,2.653919219970703,no
0.0001,"64 32 16",2697001472.0,2697001472.0,35027.85546875,3.029360055923462,no
0.0001,"64 32",134471671808.0,134471671808.0,302892.46875,26.42483139038086,no
0.0001,"32 16 8",3293892864.0,3293892864.0,40546.515625,3.535306930541992,no
0.0001,"32 16",470281584640.0,470281584640.0,645214.25,56.81093978881836,no
0.0001,"128 64 32",2581429248.0,2581429248.0,33954.5234375,2.929349899291992,no
0.1,"64 32 16",1280358144.0,1280358144.0,21290.1328125,1.8589727878570557,yes
0.1,"64 32",1354719872.0,1354719872.0,24295.701171875,2.0946576595306396,yes
0.1,"32 16 8",1516598400.0,1516598400.0,25816.814453125,2.188260316848755,yes
0.1,"32 16",1653654656.0,1653654656.0,25866.931640625,2.2313308715820312,yes
0.1,"128 64 32",1443962240.0,1443962240.0,25558.498046875,2.280815839767456,yes
0.01,"64 32 16",1615087104.0,1615087104.0,24960.15625,2.165602445602417,yes
0.01,"64 32",1673876864.0,1673876864.0,25411.546875,2.200096368789673,yes
0.01,"32 16 8",1719055232.0,1719055232.0,26326.49609375,2.285946846008301,yes
0.01,"32 16",1709365120.0,1709365120.0,26728.322265625,2.291445016860962,yes
0.01,"128 64 32",1292451200.0,1292451200.0,22476.3125,1.9496958255767822,yes
0.001,"64 32 16",1681752064.0,1681752064.0,25931.341796875,2.24448561668396,yes
0.001,"64 32",1978253696.0,1978253696.0,28794.5546875,2.480961561203003,yes
0.001,"32 16 8",1968706816.0,1968706816.0,28504.71875,2.4599084854125977,yes
0.001,"32 16",2078124544.0,2078124544.0,29704.7109375,2.564232587814331,yes
0.001,"128 64 32",1632840704.0,1632840704.0,25823.69140625,2.216625452041626,yes
0.0001,"64 32 16",2197378560.0,2197378560.0,31225.388671875,2.703066110610962,yes
0.0001,"64 32",179077922816.0,179077922816.0,358240.96875,31.450124740600586,yes
0.0001,"32 16 8",2573234432.0,2573234432.0,34982.44921875,3.0431084632873535,yes
0.0001,"32 16",478814076928.0,478814076928.0,646685.25,56.517860412597656,yes
0.0001,"128 64 32",2083673728.0,2083673728.0,29805.990234375,2.5847373008728027,yes
