Time,Load (kW),Pressure_kpa,Cloud Cover (%),Humidity (%),Temperature (C) ,Wind Direction (deg),Wind Speed (kmh)
2021-01-17 08:00:00,993843.4321,1014.525,7.25,70.41666667,4.391886217,61.625,3.34375
2021-01-17 09:00:00,1022724.932,1014.9625,5.875,65.91666667,8.371886217,73.75,7.3425
2021-01-17 10:00:00,1046057.432,1015.1,3.625,60.08333333,15.27438622,111.25,5.75375
2021-01-17 11:00:00,1059846.432,1014.825,1.375,56.08333333,19.24188622,34.375,9.3425
2021-01-17 12:00:00,1062641.932,1013.9875,0.125,53.91666667,23.50938622,59.75,9.8375
2021-01-17 13:00:00,1057551.432,1012.85,0,57.41666667,22.50688622,274.375,10.46
2021-01-17 14:00:00,1050042.432,1012.0375,0,60.41666667,20.62438622,269.625,19.00375
2021-01-17 15:00:00,1043467.432,1011.5125,0.875,60.83333333,19.86688622,280,22.475
2021-01-17 16:00:00,1040293.432,1011.3125,1.5,61.25,19.67938622,299.75,19.6975
2021-01-17 17:00:00,1037830.432,1011.425,0.125,65.08333333,16.48188622,300,18.13875
2021-01-17 18:00:00,1050997.932,1012.175,0,66.83333333,13.94188622,322.375,13.93
2021-01-17 19:00:00,1056883.932,1012.9125,0,68.08333333,13.40938622,319.375,11.8025
2021-01-17 20:00:00,1047564.432,1013.7875,0,68.08333333,11.80188622,347.875,13.48625
2021-01-17 21:00:00,1032530.932,1014.3125,0,64.5,11.49438622,73.625,9.96
2021-01-17 22:00:00,1013138.932,1014.7125,0.125,63.41666667,11.42438622,22.125,6.43625
2021-01-17 23:00:00,987965.9321,1014.4,2.75,71.08333333,9.156886217,180.125,7.7875
2021-01-18 00:00:00,973915.4321,1013.85,10.25,74.41666667,7.556886217,46.125,3.805
2021-01-18 01:00:00,961728.9321,1013.5,10.5,74.58333333,7.421886217,39.5,3.09125
2021-01-18 02:00:00,954980.4321,1013.1125,8.875,74.66666667,7.189386217,43.75,2.9075
2021-01-18 03:00:00,953112.4321,1012.8125,12,74.66666667,6.699386217,39.5,3.3075
2021-01-18 04:00:00,953025.4321,1012.775,15.75,70.58333333,6.346886217,73.125,7.43875
2021-01-18 05:00:00,960618.4321,1013.1375,13.875,70.41666667,6.061886217,67.375,3.47875
2021-01-18 06:00:00,984073.9321,1013.8125,8.25,69.5,7.044386217,72.625,3.015
2021-01-18 07:00:00,1035435.432,1014.7125,6.875,72.16666667,6.241886217,69.875,3.50875
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
