"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
17.7218862174512,1012,3,100,11,2021-02-15 08:00:00
19.7218862174512,1013,3,138,12,2021-02-15 09:00:00
19.7218862174512,1013,3,205,14,2021-02-15 10:00:00
21.7218862174512,1013,3,273,16,2021-02-15 11:00:00
23.7218862174512,1012,3,340,18,2021-02-15 12:00:00
23.7218862174512,1012,3,335,21,2021-02-15 13:00:00
21.7218862174512,1011,3,330,24,2021-02-15 14:00:00
21.7218862174512,1010,3,324,28,2021-02-15 15:00:00
21.7218862174512,1010,3,330,28,2021-02-15 16:00:00
21.7218862174512,1010,3,335,28,2021-02-15 17:00:00
21.7218862174512,1010,3,340,28,2021-02-15 18:00:00
19.7218862174512,1011,3,306,24,2021-02-15 19:00:00
17.7218862174512,1011,3,273,21,2021-02-15 20:00:00
17.7218862174512,1012,3,239,18,2021-02-15 21:00:00
17.7218862174512,1012,3,234,18,2021-02-15 22:00:00
17.7218862174512,1012,3,229,17,2021-02-15 23:00:00
17.7218862174512,1013,3,224,17,2021-02-16 00:00:00
15.7218862174512,1012,3,154,17,2021-02-16 01:00:00
15.7218862174512,1012,2,83,16,2021-02-16 02:00:00
15.7218862174512,1012,2,13,16,2021-02-16 03:00:00
15.7218862174512,1012,2,20,14,2021-02-16 04:00:00
15.7218862174512,1012,2,27,12,2021-02-16 05:00:00
17.7218862174512,1012,2,34,11,2021-02-16 06:00:00
17.7218862174512,1013,2,66,11,2021-02-16 07:00:00
