"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
13.7218862174512,1013,2,77,9,2021-01-30 08:00:00
15.7218862174512,1014,1,113,9,2021-01-30 09:00:00
17.7218862174512,1014,1,177,9,2021-01-30 10:00:00
17.7218862174512,1013,0,240,9,2021-01-30 11:00:00
19.7218862174512,1013,0,304,10,2021-01-30 12:00:00
17.7218862174512,1012,0,301,13,2021-01-30 13:00:00
17.7218862174512,1012,0,298,16,2021-01-30 14:00:00
15.7218862174512,1011,0,294,19,2021-01-30 15:00:00
13.7218862174512,1011,0,298,18,2021-01-30 16:00:00
13.7218862174512,1011,0,302,17,2021-01-30 17:00:00
11.7218862174512,1011,0,305,16,2021-01-30 18:00:00
9.72188621745121,1012,0,310,14,2021-01-30 19:00:00
5.72188621745121,1013,0,314,12,2021-01-30 20:00:00
3.72188621745121,1013,0,318,10,2021-01-30 21:00:00
3.72188621745121,1013,1,286,10,2021-01-30 22:00:00
3.72188621745121,1013,3,255,9,2021-01-30 23:00:00
5.72188621745121,1013,4,223,8,2021-01-31 00:00:00
7.72188621745121,1013,5,151,9,2021-01-31 01:00:00
7.72188621745121,1013,6,78,10,2021-01-31 02:00:00
9.72188621745121,1012,7,6,11,2021-01-31 03:00:00
9.72188621745121,1013,7,8,10,2021-01-31 04:00:00
9.72188621745121,1013,7,10,9,2021-01-31 05:00:00
9.72188621745121,1013,7,12,9,2021-01-31 06:00:00
9.72188621745121,1014,7,43,8,2021-01-31 07:00:00
