model,mse,mae,mape
1HourNaive,1309250987.3530264,25646.968138470278,2.1911415695768794
24HourNaive,8313610409.492163,53561.40178489882,4.503903611362033
48HourNaive,12700080170.195343,71828.83552970584,6.084061463939237
1WeekNaive,38240900588.92983,159977.72544230087,13.580197497658158
1HourNaive,1309250987.3530264,25646.968138470278,2.1911415695768794
1YearNaive,19548581550.618366,100630.94241835277,8.817171023620011
NN1,1036368384.0,22640.013671875,2.065840005874634
NN2,1728490624.0,30809.833984375,2.8434178829193115
XGB1,919763548.0251665,20019.269699166667,1.8274491323680944
XGB2,1458752045.4530602,26583.4174010119,2.4110169873508993
RF1,803790996.4261972,18548.671094834535,1.6995558926910583
RF2,2133925540.6835136,29473.305040993047,2.6398443381541785
