,time,load_kw,pressure_kpa,cloud_cover_pct,temperature_c,wind_direction_deg,wind_speed_kmh
0,2021-02-01 08:00:00,1104820.93,1013.38,55.25,7.25,269.25,4.35
1,2021-02-01 09:00:00,1181208.93,1013.88,56.75,9.99,265.5,5.63
2,2021-02-01 10:00:00,1227823.93,1014.25,44.25,14.07,323.0,6.7
3,2021-02-01 11:00:00,1243958.93,1013.8,38.75,17.49,287.0,4.88
4,2021-02-01 12:00:00,1240224.93,1012.83,10.25,17.7,278.25,13.52
5,2021-02-01 13:00:00,1222226.93,1011.55,0.25,17.79,275.5,19.9
6,2021-02-01 14:00:00,1224499.93,1010.55,0.0,16.84,278.0,21.81
7,2021-02-01 15:00:00,1219158.93,1010.1,0.0,15.63,270.25,18.27
8,2021-02-01 16:00:00,1209804.43,1010.0,0.0,15.07,295.25,18.05
9,2021-02-01 17:00:00,1184463.43,1009.93,0.0,15.56,307.0,13.16
10,2021-02-01 18:00:00,1161012.43,1010.35,0.0,12.03,339.25,14.1
11,2021-02-01 19:00:00,1132817.43,1010.83,0.0,10.39,298.25,11.47
12,2021-02-01 20:00:00,1094576.93,1011.6,0.0,9.94,319.25,8.92
13,2021-02-01 21:00:00,1068423.93,1012.15,0.25,9.65,342.75,8.61
14,2021-02-01 22:00:00,1037262.93,1012.35,0.0,8.3,346.5,8.22
15,2021-02-01 23:00:00,1013021.43,1012.23,1.0,7.79,340.25,6.42
16,2021-02-02 00:00:00,993157.93,1011.83,3.5,7.55,352.25,7.46
17,2021-02-02 01:00:00,979444.93,1011.35,7.75,7.5,8.75,2.76
18,2021-02-02 02:00:00,968421.43,1011.08,9.5,6.07,355.5,3.21
19,2021-02-02 03:00:00,962367.43,1010.83,12.25,5.66,268.25,6.76
20,2021-02-02 04:00:00,961100.43,1010.9,14.0,5.36,14.5,8.42
21,2021-02-02 05:00:00,967371.93,1011.08,12.25,3.89,35.0,9.54
22,2021-02-02 06:00:00,990460.93,1011.65,12.0,3.86,43.25,3.27
23,2021-02-02 07:00:00,1038706.93,1012.6,13.0,5.37,52.0,2.44
24,2021-02-02 08:00:00,1116034.93,1013.5,12.5,5.99,102.75,4.65
25,2021-02-02 09:00:00,1195707.43,1014.1,12.25,9.55,96.5,8.23
26,2021-02-02 10:00:00,1239514.43,1014.23,20.75,12.43,262.25,4.43
27,2021-02-02 11:00:00,1252030.93,1013.85,37.75,15.05,292.25,7.88
28,2021-02-02 12:00:00,1246794.43,1012.95,31.5,15.47,278.25,17.24
29,2021-02-02 13:00:00,1229618.93,1011.78,8.5,15.0,272.5,19.68
30,2021-02-02 14:00:00,1230195.93,1010.8,5.5,14.75,269.0,21.16
31,2021-02-02 15:00:00,1224062.43,1010.15,4.0,15.1,294.5,25.51
32,2021-02-02 16:00:00,1213067.43,1009.88,1.25,13.17,296.5,21.49
33,2021-02-02 17:00:00,1191903.43,1009.73,1.0,12.43,288.25,21.55
34,2021-02-02 18:00:00,1169370.93,1010.13,2.0,10.63,295.0,18.76
35,2021-02-02 19:00:00,1140817.93,1010.93,3.0,8.76,304.0,16.26
36,2021-02-02 20:00:00,1108158.43,1011.53,2.75,8.56,324.5,11.68
37,2021-02-02 21:00:00,1077085.93,1012.13,2.0,8.27,324.5,9.58
38,2021-02-02 22:00:00,1048924.93,1012.23,4.0,8.04,327.25,7.99
39,2021-02-02 23:00:00,1023253.43,1012.3,4.0,7.55,325.25,5.88
40,2021-02-03 00:00:00,1006206.93,1012.13,5.25,7.44,2.25,5.9
41,2021-02-03 01:00:00,990968.93,1011.48,6.75,5.92,4.5,8.88
42,2021-02-03 02:00:00,979290.93,1011.18,8.75,5.7,354.5,9.43
43,2021-02-03 03:00:00,973770.93,1011.0,14.5,4.35,97.0,8.73
44,2021-02-03 04:00:00,973641.93,1010.95,23.0,3.29,94.0,8.7
45,2021-02-03 05:00:00,978952.43,1011.08,24.0,3.21,24.75,4.77
46,2021-02-03 06:00:00,1002034.93,1011.7,30.25,3.26,35.25,8.41
47,2021-02-03 07:00:00,1047764.93,1012.58,33.5,3.4,12.0,7.88
48,2021-02-03 08:00:00,1125154.43,1013.33,32.5,4.7,4.75,7.93
49,2021-02-03 09:00:00,1199823.93,1013.75,26.75,9.43,51.25,7.63
50,2021-02-03 10:00:00,1242828.43,1013.9,26.5,12.91,331.5,6.16
51,2021-02-03 11:00:00,1257425.43,1013.58,23.5,16.52,316.25,9.79
52,2021-02-03 12:00:00,1255382.43,1012.48,17.0,18.87,285.75,11.08
53,2021-02-03 13:00:00,1242702.93,1010.98,6.25,16.55,273.5,25.38
54,2021-02-03 14:00:00,1246388.43,1009.98,1.25,17.31,283.0,26.54
55,2021-02-03 15:00:00,1243381.93,1009.3,1.25,15.66,287.75,17.07
56,2021-02-03 16:00:00,1238714.43,1009.2,0.5,15.8,294.25,18.71
57,2021-02-03 17:00:00,1213390.93,1009.23,2.5,13.0,308.75,16.55
58,2021-02-03 18:00:00,1188076.93,1009.73,7.25,12.54,305.25,13.12
59,2021-02-03 19:00:00,1157643.43,1010.5,7.25,11.87,294.0,11.33
60,2021-02-03 20:00:00,1123003.43,1011.28,5.5,10.5,15.75,9.38
61,2021-02-03 21:00:00,1090232.93,1011.78,4.75,10.17,274.25,7.35
62,2021-02-03 22:00:00,1056485.93,1011.8,15.0,10.15,336.75,7.74
63,2021-02-03 23:00:00,1037510.93,1011.7,22.75,8.52,44.25,1.84
64,2021-02-04 00:00:00,1004951.43,1011.5,22.25,8.37,120.0,1.4
65,2021-02-04 01:00:00,989637.93,1010.95,25.0,8.16,325.25,2.69
66,2021-02-04 02:00:00,979871.93,1010.65,30.75,7.86,14.5,7.07
67,2021-02-04 03:00:00,971120.93,1010.58,22.25,8.01,104.25,1.55
68,2021-02-04 04:00:00,973262.93,1010.43,30.5,6.48,195.0,3.15
